"",".8","1","1.2","1.4","1.6"
"M_fit_M",8946.99352785931,47303.9137111061,241036.780920209,560580.50320027,822858.547823224
"A_fit_M",215766.480176294,199845.960924134,157028.415111223,108080.237229521,74344.9382663131
"O_fit_M",90920.0271809477,87010.8026666677,75917.1958830156,60441.1261245684,47659.6134716076
"Al_fit_M",163586.481832527,111403.42630607,20739.177845152,3289.72600768214,1093.43992324036
"T_M_fit_M",32204.3873544393,181079.005027038,927476.363663896,2155478.83575071,3153959.12665822
"T_A_fit_M",410838.640774182,379728.180270312,296949.010680937,203807.554518284,139840.991531689
"T_O_fit_M",164570.721976821,157414.698722225,137165.078140923,108892.960556731,85415.6347168463
"T_Al_fit_M",299751.539047503,203091.095182125,36944.2923859808,5950.02027919989,1984.58894326288
"total_M",907365.289152945,921312.979201699,1398534.74487174,2474129.37110492,3381200.34185002
"total_rep_M",479219.982717629,445564.103607977,494721.5697596,732391.592562041,945956.539484385
"M_R0_M",389.101799280087,486.362266867534,583.597511581126,680.836425951139,778.079467536921
"A_R0_M",535.493485524837,535.485156353186,535.467969296442,535.457160241364,535.450526015274
"O_R0_M",480.96957501511,480.962098681715,480.946611577142,480.936852354955,480.930865093991
"Al_R0_M",797.823120892306,797.810710328359,797.785133966785,797.769033703309,797.75913021793
"pPCR_M",185.301628482282,185.311333431471,185.331206361508,185.343553718335,185.351204463397
"M_fit_L",4348.12170964853,26584.9914551852,161973.962231092,342851.686112712,463573.341156424
"A_fit_L",121064.53311735,111668.845952341,82962.2991445768,53704.3031374767,34780.9937874315
"O_fit_L",47349.2215850078,45425.8067049843,38236.422158809,28253.8928272505,21650.3053525575
"Al_fit_L",121868.793388354,84891.0810359586,8904.10007628338,1087.21600588041,312.611618778858
"T_M_fit_L",17094.0251624481,110246.470825386,628237.583728242,1767275.97401737,2826468.26944919
"T_A_fit_L",176923.222703178,162504.262876672,122402.261981085,78749.6674562109,50457.7970987314
"T_O_fit_L",70577.5251104235,68094.7648428207,58228.2488263086,43761.3753072405,32129.4752712116
"T_Al_fit_L",185332.429691762,132799.974631644,18014.7030877394,1988.01140811571,569.783800868233
"total_L",512464.975385999,561726.572439394,991800.247577882,2043332.7311177,3028333.61808435
"total_rep_L",334172.653556513,321720.430989538,389656.835394051,502158.967070301,596386.063140842
"M_R0_L",356.688481428602,445.851388385926,534.992452197409,624.132313970851,713.27753579335
"A_R0_L",475.488249720114,475.485037092762,475.475607851301,475.468656733723,475.464155510652
"O_R0_L",428.77495028884,428.771918369497,428.763827128855,428.75865131994,428.75522099692
"Al_R0_L",697.127816301079,697.122292902321,697.107258810936,697.095728683971,697.087851906749
"pPCR_L",185.233217525928,185.257265263832,185.299378659269,185.318571624757,185.331887450857
"M_fit_U",16442.0736379579,79017.441633152,333806.537173227,736706.544209049,1077957.90008416
"A_fit_U",372269.256452814,345154.93554327,277882.372296752,201009.552281244,141088.264956468
"O_fit_U",194880.721277658,188877.873755415,168699.351979911,126517.360718385,98959.3641080236
"Al_fit_U",235208.65215393,154495.352230716,39804.5591220346,6910.17171002646,2469.19487818983
"T_M_fit_U",59122.7271417289,294551.723401564,1298210.63868488,2515661.80390322,3467663.41295585
"T_A_fit_U",910568.618837141,818566.059615599,612004.925930887,449837.956029145,334616.919515517
"T_O_fit_U",402692.889873369,383620.003911871,343990.354114898,282733.61083729,229316.204466855
"T_Al_fit_U",582892.641680862,376162.047897416,73863.6742723503,13281.4011375783,4568.11047869118
"total_U",1813711.41929499,1734107.61183773,2171514.02176668,3097558.87126457,3767752.22260667
"total_rep_U",665873.075770362,618939.580050938,642949.258111586,912978.852419846,1186091.03469618
"M_R0_U",438.117168215899,547.631500673426,657.116689170363,766.605666386897,876.097800481694
"A_R0_U",604.253051506768,604.239054005895,604.207280538638,604.182361158732,604.165182875321
"O_R0_U",564.211794832099,564.198709225373,564.169758768172,564.15227554667,564.142383532958
"Al_R0_U",909.817893051447,909.801964870432,909.764397614551,909.734718313305,909.714193632793
"pPCR_U",185.330582334687,185.336324590041,185.348307644637,185.355937743063,185.360259974518
