"","mean","lower","upper"
"beta_M",0.300527979199126,0.289907372585998,0.312046824843624
"beta_A",0.29976066047882,0.284446115782972,0.314896466355681
"beta_O",0.255368251174781,0.245836860310806,0.266038672430041
"beta_Al",0.467152245213869,0.441129607890693,0.497378422569685
"rho_v",0.51384670955229,0.375561617584663,0.78819275132407
"rho_i",0.931902588882361,0.757238879941815,0.998243197583
"omega_v1",0.244269947883756,0.142568453756619,0.351722538305596
"omega_v2",0.233224429589277,0.0393350388129887,0.441521734131228
"omega_i1",0.405678992809054,0.372209717009713,0.438887249041213
"omega_i2",0.524706036619291,0.468922544252319,0.57993451502696
"I0_i_M",34.5351721434849,11.8403840745694,74.5802911128924
"I0_i_A",0.686387029220215,0.0356756710232742,3.34919479403414
"I0_i_O",185.690911242047,35.0861549189261,432.20175991763
"I0_i_Al",266.127911289733,89.0807817857441,504.499620455311
"I0_v_M",858.27691391472,592.232416086769,1134.50103061485
"I0_v_A",1.18794559831174,0.139560543486221,4.59069731025048
"I0_v_O",45.0696497171706,10.4775471102797,125.675011174879
"I0_v_Al",58.3221949487275,16.8763602290846,142.328738542141
"k",0.0491858168951517,0.00515486560176936,0.115557069128321
