"","V1","V2","V3"
"R0_chain_M",1.34007306382975,1.08624751852116,1.51889782528713
"R0_chain_A",1.45082350561554,1.33201222701473,1.54674219167751
"R0_chain_O",1.19301515146018,1.09832497136139,1.25870756943816
"R0_chain_Al",2.15833260199953,1.8948605844219,2.44955254135029
"beta_chain_A",1.0006395167122,0.797376441483169,1.5630524541842
"beta_chain_M",0.916422142714311,0.739737707417305,1.2371878149182
"beta_chain_O",0.821685256958105,0.677129004097341,1.32098396390666
"beta_chain_Al",1.48559993990551,1.15348395725582,2.22894818765132
"rho_chain",0.287157614632042,0.140310798133795,0.592791719824826
"omega1_chain",0.328101425949252,0.205823556390796,0.449217733273899
"omega2_chain",0.448864821649024,0.193560402329187,0.60736410291788
"k_chain",0.374166165593756,0.164597529104407,0.761284644165562
"I0_chain_M",479.169073520297,35.9770323088198,1883.32928623692
"I0_chain_A",3.18015953313867,0.179507747263938,14.7764960716808
"I0_chain_O",872.847479645533,143.002214307649,2137.4444796936
"I0_chain_Al",1186.10144052161,304.715735248291,2236.57655221492
