"","x"
"1",50935
"2",50608
"3",50280
"4",49953
"5",49626
"6",49298
"7",48971
"8",48644
"9",48317
"10",47989
"11",47662
"12",47335
"13",47007
"14",46680
"15",46353
"16",46026
"17",45698
"18",45371
"19",45044
"20",44716
"21",44389
"22",44062
"23",43735
"24",43407
"25",43080
"26",42753
"27",42426
"28",42098
"29",41771
"30",41444
"31",41116
"32",40789
"33",40668
"34",40547
"35",40426
"36",40306
"37",40185
"38",40064
"39",39943
"40",39822
"41",39701
"42",39580
"43",39460
"44",39339
"45",39218
"46",39097
"47",38976
"48",38855
"49",38734
"50",38613
"51",38493
"52",38372
"53",38251
"54",38130
"55",38009
"56",37888
"57",37767
"58",37647
"59",37526
"60",37405
"61",37284
"62",37163
"63",37531
"64",37900
"65",38268
"66",38636
"67",39004
"68",39373
"69",39741
"70",40109
"71",40478
"72",40846
"73",41214
"74",41582
"75",41951
"76",42319
"77",42687
"78",43055
"79",43424
"80",43792
"81",44160
"82",44529
"83",44897
"84",45265
"85",45633
"86",46002
"87",46370
"88",46738
"89",47106
"90",47475
"91",47843
"92",48211
"93",48580
"94",49527
"95",50475
"96",51423
"97",52371
"98",53319
"99",54267
"100",55215
"101",56163
"102",57111
"103",58059
"104",59006
"105",59954
"106",60902
"107",61850
"108",62798
"109",63746
"110",64694
"111",65642
"112",66590
"113",67538
"114",68485
"115",69433
"116",70381
"117",71329
"118",72277
"119",73225
"120",74173
"121",75121
"122",76069
"123",77017
"124",77964
"125",79695
"126",81426
"127",83156
"128",84887
"129",86617
"130",88348
"131",90079
"132",91809
"133",93540
"134",95270
"135",97001
"136",98732
"137",100462
"138",102193
"139",103923
"140",105654
"141",107385
"142",109115
"143",110846
"144",112576
"145",114307
"146",116038
"147",117768
"148",119499
"149",121229
"150",122960
"151",124691
"152",126421
"153",128152
"154",129882
"155",131819
"156",133756
"157",135693
"158",137630
"159",139566
"160",141503
"161",143440
"162",145377
"163",147314
"164",149251
"165",151187
"166",153124
"167",155061
"168",156998
"169",158935
"170",160871
"171",162808
"172",164745
"173",166682
"174",168619
"175",170556
"176",172492
"177",174429
"178",176366
"179",178303
"180",180240
"181",182176
"182",184113
"183",186050
"184",187987
"185",189924
"186",188049
"187",186174
"188",184299
"189",182424
"190",180549
"191",178674
"192",176799
"193",174924
"194",173049
"195",171175
"196",169300
"197",167425
"198",165550
"199",163675
"200",161800
"201",159925
"202",158050
"203",156175
"204",154300
"205",152425
"206",150550
"207",148675
"208",146801
"209",144926
"210",143051
"211",141176
"212",139301
"213",137426
"214",135551
"215",133676
"216",133390
"217",133105
"218",132819
"219",132534
"220",132248
"221",131962
"222",131677
"223",131391
"224",131105
"225",130820
"226",130534
"227",130248
"228",129963
"229",129677
"230",129392
"231",129106
"232",128820
"233",128535
"234",128249
"235",127963
"236",127678
"237",127392
"238",127106
"239",126821
"240",126535
"241",126249
"242",125964
"243",125678
"244",125393
"245",125107
"246",124821
"247",125056
"248",125290
"249",125525
"250",125760
"251",125994
"252",126229
"253",126463
"254",126698
"255",126933
"256",127167
"257",127402
"258",127636
"259",127871
"260",128106
"261",128340
"262",128575
"263",128809
"264",129044
"265",129279
"266",129513
"267",129748
"268",129982
"269",130217
"270",130451
"271",130686
"272",130921
"273",131155
"274",131390
"275",131624
"276",131859
"277",132094
"278",133077
"279",134060
"280",135043
"281",136026
"282",137009
"283",137992
"284",138975
"285",139958
"286",140941
"287",141924
"288",142907
"289",143890
"290",144873
"291",145856
"292",146840
"293",147823
"294",148806
"295",149789
"296",150772
"297",151755
"298",152738
"299",153721
"300",154704
"301",155687
"302",156670
"303",157653
"304",158636
"305",159619
"306",159226
"307",158832
"308",158439
"309",158046
"310",157652
"311",157259
"312",156865
"313",156472
"314",156079
"315",155685
"316",155292
"317",154898
"318",154505
"319",154111
"320",153718
"321",153325
"322",152931
"323",152538
"324",152144
"325",151751
"326",151357
"327",150964
"328",150571
"329",150177
"330",149784
"331",149390
"332",148997
"333",148603
"334",148210
"335",147817
"336",147423
"337",146507
"338",145590
"339",144674
"340",143757
"341",142840
"342",141924
"343",141007
"344",140091
"345",139174
"346",138258
"347",137341
"348",136425
"349",135508
"350",134592
"351",133675
"352",132759
"353",131842
"354",130926
"355",130009
"356",129093
"357",128176
"358",127259
"359",126343
"360",125426
"361",124510
"362",123593
"363",122677
"364",121760
"365",120844
"366",119927
"367",119217
"368",118508
"369",117798
"370",117088
"371",116378
"372",115669
"373",114959
"374",114249
"375",113539
"376",112829
"377",112120
"378",111410
"379",110700
"380",109990
"381",109281
"382",108571
"383",107861
"384",107151
"385",106441
"386",105732
"387",105022
"388",104312
"389",103602
"390",102892
"391",102183
"392",101473
"393",100763
"394",100053
"395",99344
"396",98634
