"","mean","lower","upper","parameters","CrI","out"
"1",1.38,1.34,1.42,"R0_M","(1.34-1.42)","1.38 (1.34-1.42)"
"2",1.45,1.39,1.52,"R0_A","(1.39-1.52)","1.45 (1.39-1.52)"
"3",1.26,1.23,1.31,"R0_O","(1.23-1.31)","1.26 (1.23-1.31)"
"4",2.26,2.16,2.37,"R0_Al","(2.16-2.37)","2.26 (2.16-2.37)"
"beta_M",0.29,0.28,0.29,"beta_M","(0.28-0.29)","0.29 (0.28-0.29)"
"beta_A",0.3,0.29,0.31,"beta_A","(0.29-0.31)","0.3 (0.29-0.31)"
"beta_O",0.26,0.25,0.27,"beta_O","(0.25-0.27)","0.26 (0.25-0.27)"
"beta_Al",0.47,0.45,0.49,"beta_Al","(0.45-0.49)","0.47 (0.45-0.49)"
"rho_v",93.24,77.66,99.69,"rho_v","(77.66-99.69)","93.24% (77.66-99.69)"
"omega_i1",36.74,33.82,39.39,"omega_i1","(33.82-39.39)","36.74% (33.82-39.39)"
"omega_i2",53.04,48.68,57.05,"omega_i2","(48.68-57.05)","53.04% (48.68-57.05)"
"I0_i_M",104.1,55.22,166.63,"I0_i_M","(55.22-166.63)","104.1 (55.22-166.63)"
"I0_i_A",0.58,0.05,2.34,"I0_i_A","(0.05-2.34)","0.58 (0.05-2.34)"
"I0_i_O",88.15,18.22,200.93,"I0_i_O","(18.22-200.93)","88.15 (18.22-200.93)"
"I0_i_Al",88.66,32.96,173,"I0_i_Al","(32.96-173)","88.66 (32.96-173)"
"I0_v_M",24.35,13.51,37.69,"I0_v_M","(13.51-37.69)","24.35 (13.51-37.69)"
"I0_v_A",0.07,0.01,0.27,"I0_v_A","(0.01-0.27)","0.07 (0.01-0.27)"
"I0_v_O",6.24,1.19,14.88,"I0_v_O","(1.19-14.88)","6.24 (1.19-14.88)"
"I0_v_Al",21.94,10.91,34.96,"I0_v_Al","(10.91-34.96)","21.94 (10.91-34.96)"
"k",0.05,0.01,0.12,"k","(0.01-0.12)","0.05 (0.01-0.12)"
