"","V1","V2","V3"
"R0_chain_M",0.96869432467591,0.411662876736642,1.41025287540989
"R0_chain_A",1.31404143471597,0.926902102650389,1.50267708870488
"R0_chain_O",1.14854416438009,0.835909021666826,1.33880548499107
"R0_chain_Al",2.01437436188784,1.34544331547306,2.48090341706918
"beta_chain_A",1.36848022098062,0.855118730524729,2.44227070990271
"beta_chain_M",0.918372176693327,0.805004453115189,1.09068998138623
"beta_chain_O",1.19927222750724,0.750440849413049,2.17789438653014
"beta_chain_Al",2.08621374505827,1.36141957277046,3.86269889968862
"rho_chain",0.485506016103738,0.212028605385948,0.803160336425024
"omega1_chain",0.319525962689655,0.140789169960289,0.438718449538478
"omega2_chain",0.391175759789245,0.143426993201405,0.549015142960842
"k_chain",0.24562016056101,0.102260843925167,0.588146004301383
"I0_chain_M",1771.93425493734,796.754536535417,3265.61049328327
"I0_chain_A",33.8497041966619,2.73670216357065,152.177785647738
"I0_chain_O",200.878818930342,19.6206860400045,680.887199400746
"I0_chain_Al",105.343030645624,13.4766246531163,331.907373392475
