"",".8","1","1.2","1.4","1.6"
"M_fit_M",0,0,0,0,0
"A_fit_M",661025.27345292,647654.771756084,628237.394757811,608455.653988561,590693.799798419
"O_fit_M",570730.213035746,565786.973288231,558239.746250022,550386.134409301,543185.452022949
"Al_fit_M",1336.34566955222,574.925535016747,273.794442614222,138.089557572327,72.9309107143174
"T_M_fit_M",319637.071361658,1105169.61569744,1766098.71012044,2178454.41133919,2419707.64847922
"T_A_fit_M",1028033.08468572,1007239.14736561,977041.049390064,946276.289251261,918652.876824912
"T_O_fit_M",887605.307987164,879917.532330063,868180.009720096,855965.994415709,844767.421497589
"T_Al_fit_M",2078.29808639537,894.129914489497,425.807842323828,214.758254389311,113.422878249327
"total_M",2237353.76212094,2993220.4253076,3611745.57707293,3980911.45326055,4183241.36967997
"total_rep_M",1233091.83215822,1214016.67057933,1186750.93545045,1158979.87795543,1133952.18273208
"M_R0_M",643.474187417295,804.342734271618,965.211281125942,1126.07982798027,1286.94837483459
"A_R0_M",530.853967608336,530.853967608336,530.853967608336,530.853967608336,530.853967608336
"O_R0_M",478.912239968024,478.912239968024,478.912239968024,478.912239968024,478.912239968024
"Al_R0_M",788.099960529143,788.099960529143,788.099960529143,788.099960529143,788.099960529143
"pPCR_M",0,0,0,0,0
"M_fit_L",0,0,0,0,0
"A_fit_L",140.503175112601,139.659206841155,138.379326664172,137.161172891185,136.174395961912
"O_fit_L",720.964531865563,720.490357035245,719.68236454509,718.81133193982,718.029460148882
"Al_fit_L",7.38733429771644,7.38558629205877,7.38318848985409,7.38004066517838,6.31915485663624
"T_M_fit_L",199.044354523818,274.511065502467,367.228830083999,483.427327339817,632.199024314826
"T_A_fit_L",218.51193641151,217.19938855545,215.208906165119,213.314421292667,211.779775990532
"T_O_fit_L",1121.25121596511,1120.51377454937,1119.25717658645,1117.90253800905,1116.68656321755
"T_Al_fit_L",11.4888558284859,11.4861373126886,11.4824082268337,11.4775126985667,9.82761252976087
"total_L",455086.878685985,2034926.09024324,2920840.39013166,3229139.81921958,3406253.67063951
"total_rep_L",2504.83384284911,1849.97179942988,1513.55708816969,1271.61020449758,1113.56435317279
"M_R0_L",503.882701939326,629.853377424158,755.82405290899,881.794728393821,1007.76540387865
"A_R0_L",267.958342306594,267.958342306594,267.958342306594,267.958342306594,267.958342306594
"O_R0_L",234.372422357296,234.372422357296,234.372422357296,234.372422357296,234.372422357296
"Al_R0_L",405.30794433994,405.30794433994,405.30794433994,405.30794433994,405.30794433994
"pPCR_L",0,0,0,0,0
"M_fit_U",0,0,0,0,0
"A_fit_U",1594843.94353853,1594830.50402428,1594814.38372852,1594795.083716,1594771.51635176
"O_fit_U",1782354.06139137,1782349.5554528,1782344.32667876,1782338.2152354,1782330.98083986
"Al_fit_U",5146.5752220022,1970.77787598421,980.358270930536,568.80199321034,287.411151261662
"T_M_fit_U",1110716.57169019,2807769.72458126,3862757.02264597,4350965.69578801,4545615.40781716
"T_A_fit_U",2480317.17502104,2480296.27375471,2480271.20331029,2480241.18773872,2480204.53553929
"T_O_fit_U",2771934.77665842,2771927.76897791,2771919.63713648,2771910.13255895,2771898.88155499
"T_Al_fit_U",8004.00501088989,3064.9733685602,1524.66294079399,884.606521322457,446.984683144109
"total_U",4285949.33603383,4286043.57572036,4286153.384111,4419508.88155113,4584496.58715065
"total_rep_U",2755689.68617025,2755689.37630066,2755689.04375986,2755688.69025991,2755688.31280361
"M_R0_U",800.561890857452,1000.70236357182,1200.84283628618,1400.98330900054,1601.1237817149
"A_R0_U",890.801542840639,890.801542840639,890.801542840639,890.801542840639,890.801542840639
"O_R0_U",838.134353846844,838.134353846844,838.134353846844,838.134353846844,838.134353846844
"Al_R0_U",1298.17243609952,1298.17243609952,1298.17243609952,1298.17243609952,1298.17243609952
"pPCR_U",0,0,0,0,0
