,X,Concordance,Date,Mut,Freq,TotSeq,Perc,Country,new_reported_cases,new_reported_cases_daily,Freq_new,TotSeq_new,new_reported_cases_daily_new
1,1,yes,01/04/2020,Other,300,300,1,Italy,NA,NA,251,251,3028.866667
2,2,yes,01/05/2020,Other,74,74,1,Italy,27556,888.9032258,72,72,850.4516129
3,3,yes,01/06/2020,Other,144,145,0.993103448,Italy,7584,252.8,140,141,248.3333333
4,4,yes,01/07/2020,Other,66,66,1,Italy,7006,226,66,66,199.0967742
5,5,yes,01/08/2020,Other,73,90,0.811111111,Italy,21702,700.0645161,62,73,609.4516129
6,6,yes,01/09/2020,Other,125,215,0.581395349,Italy,45623,1520.766667,125,215,1370.033333
7,7,yes,01/10/2020,Other,205,453,0.452538631,Italy,364607,11761.51613,204,451,10809.83871
8,8,yes,01/11/2020,Other,107,279,0.383512545,Italy,922206,30740.2,92,224,27785.56667
9,9,yes,01/12/2020,Other,274,1027,0.266796495,Italy,508914,16416.58065,258,940,12923.58065
10,10,yes,01/01/2021,Other,516,1318,0.391502276,Italy,445585,14373.70968,512,1278,12492.74194
11,11,yes,01/02/2021,Other,732,3115,0.234991974,Italy,372503,13303.67857,706,3024,12537.17857
12,12,yes,01/03/2021,Other,763,5877,0.129828144,Italy,648200,20909.67742,741,5634,19322.87097
13,13,yes,01/04/2021,Other,406,5410,0.075046211,Italy,439446,14648.2,353,5113,13679.5
14,14,yes,01/05/2021,Other,505,2906,0.17377839,Italy,195273,6299.129032,485,2757,5930.483871
