"","ym","case_daily_average","Date"
"1","2020-04",3028.86666666667,2020-04-01
"2","2020-05",850.451612903226,2020-05-01
"3","2020-06",248.333333333333,2020-06-01
"4","2020-07",199.096774193548,2020-07-01
"5","2020-08",609.451612903226,2020-08-01
"6","2020-09",1370.03333333333,2020-09-01
"7","2020-10",10809.8387096774,2020-10-01
"8","2020-11",27785.5666666667,2020-11-01
"9","2020-12",12923.5806451613,2020-12-01
"10","2021-01",12492.7419354839,2021-01-01
"11","2021-02",12537.1785714286,2021-02-01
"12","2021-03",19322.8709677419,2021-03-01
"13","2021-04",13679.5,2021-04-01
"14","2021-05",5930.48387096774,2021-05-01
"15","2021-06",2377,2021-06-01
